balanced_acc,mcc,f1,accuracy,strategy,test_subject,n
0.6477272727272727,0.2618924633082486,0.6666666666666666,0.6,online_median[k=2],S01,15
0.6477272727272727,0.2618924633082486,0.6666666666666666,0.6,online_quantile[k=3],S01,15
0.6477272727272727,0.2618924633082486,0.6666666666666666,0.6,online_median[k=3],S01,15
0.6477272727272727,0.2618924633082486,0.6666666666666666,0.6,online_quantile[k=5],S01,15
0.6477272727272727,0.2618924633082486,0.6666666666666666,0.6,online_median[k=5],S01,15
0.8,0.5477225575051661,0.6666666666666666,0.7142857142857143,fixed_0.5,S02,7
0.8,0.5477225575051661,0.6666666666666666,0.7142857142857143,val_subject,S02,7
0.8,0.5477225575051661,0.6666666666666666,0.7142857142857143,train_prior_quantile,S02,7
0.8,0.5477225575051661,0.6666666666666666,0.7142857142857143,online_quantile[k=2],S02,7
0.8,0.5477225575051661,0.6666666666666666,0.7142857142857143,online_median[k=2],S02,7
0.8,0.5477225575051661,0.6666666666666666,0.7142857142857143,online_quantile[k=3],S02,7
0.8,0.5477225575051661,0.6666666666666666,0.7142857142857143,online_median[k=3],S02,7
0.8,0.5477225575051661,0.6666666666666666,0.7142857142857143,online_quantile[k=5],S02,7
0.8,0.5477225575051661,0.6666666666666666,0.7142857142857143,online_median[k=5],S02,7
0.5,0.0,0.0,0.8333333333333334,fixed_0.5,S03,6
0.5,0.0,0.0,0.8333333333333334,val_subject,S03,6
0.8,0.4472135954999579,0.5,0.6666666666666666,train_prior_quantile,S03,6
0.8,0.4472135954999579,0.5,0.6666666666666666,online_quantile[k=2],S03,6
0.8,0.4472135954999579,0.5,0.6666666666666666,online_median[k=2],S03,6
0.8,0.4472135954999579,0.5,0.6666666666666666,online_quantile[k=3],S03,6
0.8,0.4472135954999579,0.5,0.6666666666666666,online_median[k=3],S03,6
0.4,-0.2,0.0,0.6666666666666666,online_quantile[k=5],S03,6
0.4,-0.2,0.0,0.6666666666666666,online_median[k=5],S03,6
0.7,0.4472135954999579,0.5714285714285714,0.625,fixed_0.5,S05,8
0.7,0.4472135954999579,0.5714285714285714,0.625,val_subject,S05,8
0.6333333333333333,0.2581988897471611,0.6666666666666666,0.625,train_prior_quantile,S05,8
0.6333333333333333,0.2581988897471611,0.6666666666666666,0.625,online_quantile[k=2],S05,8
0.6333333333333333,0.2581988897471611,0.6666666666666666,0.625,online_median[k=2],S05,8
0.6333333333333333,0.2581988897471611,0.6666666666666666,0.625,online_quantile[k=3],S05,8
0.6333333333333333,0.2581988897471611,0.6666666666666666,0.625,online_median[k=3],S05,8
0.6333333333333333,0.2581988897471611,0.6666666666666666,0.625,online_quantile[k=5],S05,8
0.6333333333333333,0.2581988897471611,0.6666666666666666,0.625,online_median[k=5],S05,8
0.5,0.0,0.5,0.5,fixed_0.5,S06,8
0.5,0.0,0.5,0.5,val_subject,S06,8
0.5,0.0,0.5,0.5,train_prior_quantile,S06,8
0.5,0.0,0.5,0.5,online_quantile[k=2],S06,8
0.5,0.0,0.5,0.5,online_median[k=2],S06,8
0.5,0.0,0.5,0.5,online_quantile[k=3],S06,8
0.5,0.0,0.5,0.5,online_median[k=3],S06,8
0.5,0.0,0.5,0.5,online_quantile[k=5],S06,8
0.5,0.0,0.5,0.5,online_median[k=5],S06,8
0.5833333333333333,0.16666666666666666,0.5714285714285714,0.5714285714285714,fixed_0.5,S07,7
0.5833333333333333,0.16666666666666666,0.5714285714285714,0.5714285714285714,val_subject,S07,7
0.5833333333333333,0.16666666666666666,0.5714285714285714,0.5714285714285714,train_prior_quantile,S07,7
0.5833333333333333,0.16666666666666666,0.5714285714285714,0.5714285714285714,online_quantile[k=2],S07,7
0.5833333333333333,0.16666666666666666,0.5714285714285714,0.5714285714285714,online_median[k=2],S07,7
0.5833333333333333,0.16666666666666666,0.5714285714285714,0.5714285714285714,online_quantile[k=3],S07,7
0.5833333333333333,0.16666666666666666,0.5714285714285714,0.5714285714285714,online_median[k=3],S07,7
0.5833333333333333,0.16666666666666666,0.5714285714285714,0.5714285714285714,online_quantile[k=5],S07,7
0.5833333333333333,0.16666666666666666,0.5714285714285714,0.5714285714285714,online_median[k=5],S07,7
0.4,-0.2,0.0,0.6666666666666666,fixed_0.5,S21,6
0.4,-0.2,0.0,0.6666666666666666,val_subject,S21,6
0.2,-0.4472135954999579,0.0,0.3333333333333333,train_prior_quantile,S21,6
0.3,-0.31622776601683794,0.0,0.5,online_quantile[k=2],S21,6
0.3,-0.31622776601683794,0.0,0.5,online_median[k=2],S21,6
0.4,-0.2,0.0,0.6666666666666666,online_quantile[k=3],S21,6
0.4,-0.2,0.0,0.6666666666666666,online_median[k=3],S21,6
0.4,-0.2,0.0,0.6666666666666666,online_quantile[k=5],S21,6
0.4,-0.2,0.0,0.6666666666666666,online_median[k=5],S21,6
0.7083333333333334,0.3042903097250923,0.5882352941176471,0.5,fixed_0.5,S22,14
0.7083333333333334,0.3042903097250923,0.5882352941176471,0.5,val_subject,S22,14
0.7916666666666667,0.40824829046386296,0.7368421052631579,0.6428571428571429,train_prior_quantile,S22,14
0.8333333333333333,0.47140452079103173,0.8,0.7142857142857143,online_quantile[k=2],S22,14
0.8333333333333333,0.47140452079103173,0.8,0.7142857142857143,online_median[k=2],S22,14
0.8333333333333333,0.47140452079103173,0.8,0.7142857142857143,online_quantile[k=3],S22,14
0.8333333333333333,0.47140452079103173,0.8,0.7142857142857143,online_median[k=3],S22,14
0.7916666666666667,0.40824829046386296,0.7368421052631579,0.6428571428571429,online_quantile[k=5],S22,14
0.7916666666666667,0.40824829046386296,0.7368421052631579,0.6428571428571429,online_median[k=5],S22,14
1.0,1.0,1.0,1.0,fixed_0.5,S23,12
1.0,1.0,1.0,1.0,val_subject,S23,12
0.9285714285714286,0.8451542547285166,0.9230769230769231,0.9166666666666666,train_prior_quantile,S23,12
0.8,0.6831300510639732,0.875,0.8333333333333334,online_quantile[k=2],S23,12
