tau,subject,density_mean,mean_degree,isolated_nodes_mean
0.3,S34,0.7813700918964077,14.064661654135339,0.15714285714285714
0.3,S35,0.6198830409356725,11.157894736842104,0.36666666666666664
0.3,S36,0.6432748538011696,11.578947368421053,0.4142857142857143
0.3,S37,0.618859649122807,11.139473684210527,0.6125
0.3,S38,0.5803508771929825,10.446315789473685,0.19
0.3,S39,0.504093567251462,9.073684210526316,1.2571428571428571
0.3,S40,0.48170426065162897,8.670676691729323,0.8285714285714286
0.3,S41,0.6169590643274853,11.105263157894736,0.3
0.3,S42,0.6060150375939848,10.90827067669173,0.21428571428571427
0.3,S43,0.5243107769423558,9.437593984962406,0.2
0.3,S44,0.5625730994152045,10.126315789473685,1.0857142857142856
0.35,S01,0.5273294346978559,9.491929824561403,0.68
0.35,S02,0.6000835421888053,10.801503759398496,0.6142857142857143
0.35,S03,0.5192007797270954,9.345614035087719,1.1666666666666667
0.35,S05,0.5038742690058479,9.069736842105263,0.7
0.35,S06,0.4831140350877193,8.696052631578947,1.7125
0.35,S07,0.48437761069340013,8.718796992481202,0.9428571428571428
0.35,S08,0.529093567251462,9.523684210526316,1.01875
0.35,S09,0.49286549707602345,8.871578947368421,1.11
0.35,S10,0.6231968810916179,11.217543859649123,0.5666666666666667
0.35,S12,0.510108604845447,9.181954887218046,1.0285714285714285
0.35,S13,0.4598440545808966,8.27719298245614,1.1166666666666667
0.35,S14,0.4722953216374268,8.501315789473685,1.2125
0.35,S15,0.5069200779727094,9.124561403508771,1.25
0.35,S16,0.5314327485380117,9.56578947368421,0.8125
0.35,S17,0.4972431077694236,8.950375939849623,0.6
0.35,S18,0.5312030075187971,9.561654135338346,0.65
0.35,S19,0.4711042311661505,8.479876160990711,1.511764705882353
0.35,S20,0.4802005012531329,8.64360902255639,1.1428571428571428
0.35,S21,0.4381091617933724,7.885964912280702,2.6666666666666665
0.35,S22,0.4328320802005012,7.790977443609022,1.4857142857142858
0.35,S23,0.43094541910331385,7.757017543859649,1.2166666666666666
0.35,S24,0.4711201079622132,8.480161943319837,1.2076923076923076
0.35,S25,0.4346282372598162,7.823308270676692,1.7142857142857142
0.35,S26,0.535421888053467,9.637593984962406,1.0
0.35,S27,0.4582289055973267,8.24812030075188,1.042857142857143
0.35,S28,0.6133667502088554,11.0406015037594,0.5857142857142857
